Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
400,746,400-746,Mountain West Contractors - Fieldhouse (Idaho Springs),Top Riser Plate,Shipping completed,COMPLETE,,,X,X
400,754,400-754,Mountain West Contractors - Fieldhouse (Idaho Springs),Trash Enclosure Embeds,Shipping completed,COMPLETE,X,O,X,X
400,792,400-792,Mountain West Contractors - Fieldhouse (Idaho Springs),Carports,Shipping completed,COMPLETE,,,X,X
400,794,400-794,Mountain West Contractors - Fieldhouse (Idaho Springs),Trash Enclosure,Shipping completed,COMPLETE,,,X,X
400,V268,400-V268,Mountain West Contractors - Fieldhouse (Idaho Springs),Bearing Angle ,Shipping completed,COMPLETE,,,X,X
400,V421,400-V421,Mountain West Contractors - Fieldhouse (Idaho Springs),Carport plates ,Shipping completed,COMPLETE,,,X,X
400,V651,400-V651,Mountain West Contractors - Fieldhouse (Idaho Springs),Angles  ,Shipping completed,COMPLETE,X,O,X,X
410,102,410-102,Lennar - Columnbine Square,Trash Bollard/ Contract ,Shipping completed,COMPLETE,,,X,X
410,235,410-235,Lennar - Columnbine Square,Bld 5 Structural Embeds,Shipping completed,COMPLETE,,,X,X
410,673,410-673,Lennar - Columnbine Square,HD Embeds Bld 1 Install,Shipping completed,COMPLETE,,,X,X
410,674,410-674,Lennar - Columnbine Square,HD Embeds Bld 1,Shipping completed,COMPLETE,X,O,X,X
410,675,410-675,Lennar - Columnbine Square,HD Embeds Bld 2,Shipping completed,COMPLETE,X,O,X,X
410,677,410-677,Lennar - Columnbine Square,HD Embeds Bld 3 Install,Shipping completed,COMPLETE,,,X,X
410,678,410-678,Lennar - Columnbine Square,HD Embeds Bld 4,Shipping completed,COMPLETE,X,O,X,X
410,680,410-680,Lennar - Columnbine Square,HD Embeds Bld 5,Shipping completed,COMPLETE,X,O,X,X
410,682,410-682,Lennar - Columnbine Square,HD Embeds Bld 6,Shipping completed,COMPLETE,X,O,X,X
410,684,410-684,Lennar - Columnbine Square,HD Embeds Bld 7,Shipping completed,COMPLETE,X,O,X,X
410,765,410-765,Lennar - Columnbine Square,Bldg 1 Retail Area Embeds,Shipping completed,COMPLETE,X,O,X,X
410,768,410-768,Lennar - Columnbine Square,Bldg 1 Retail Area Columns and Beams,Shipping completed,COMPLETE,,,X,X
410,788,410-788,Lennar - Columnbine Square,Bldg 2 Structural Embeds Drop Ship,Shipping completed,COMPLETE,X,O,X,X
